Time (s), X (km), Y (km), Z (km)
0.000000000000000000,2829.686181640000086190,6535.591658059999645047,663.934796949999963545
8.236175819348103389,2828.296178903763120616,6542.189572224410767376,602.788254055835977852
32.584742872530561897,2822.963839378624015808,6558.863052138662169455,421.776887659172302847
71.981551941935578043,2810.472672538436199829,6576.857228351283993106,128.366611572698928967
124.704773424365882306,2786.320550950804317836,6583.523625826222996693,-264.545841166513469034
188.450149546953326762,2745.855187731691785302,6564.950941036438052834,-738.415461555786919234
260.431701488888904805,2685.559974430772854248,6509.050438326476978546,-1269.462986756816007983
337.503490024501672906,2604.214035098747444863,6408.496835600202757632,-1830.025856099425027423
416.297108163311690987,2503.650885485446451639,6262.873926901902450481,-2390.822817523973299103
493.368896698924515931,2388.922056233072908071,6079.505786937234915968,-2923.730705265424148820
565.350448640860008709,2267.821640924232724501,5872.764100262854299217,-3404.413961797285992361
629.095824763447353689,2149.893791445065289736,5662.030264084447480855,-3814.136863650840041373
681.819046245877871115,2045.163226735001671841,5468.808386558828715351,-4140.339501601987649337
721.215855315282851734,1962.856872710229481527,5313.616490083374628739,-4375.964819802349666134
745.564422368465329782,1910.326112976312288083,5213.208988265512743965,-4517.918148751540684316
753.800598187813420736,1892.277054080373545730,5178.482457986145163886,-4565.280261437314948125
762.036774007161511690,1874.088683145942241026,5143.374680721533877659,-4612.305404166350854211
786.385341060343989739,1819.516877996715948029,5037.381574165734491544,-4749.321843537024506077
825.782150129748970357,1728.754775618958774430,4859.049407308438276232,-4964.494766157775302418
878.505371612179260410,1602.766505736815133787,4607.653452410690078977,-5239.283074049635615665
942.250747734766719077,1444.027686133498718846,4285.237592523649254872,-5550.311217185154418985
1014.232299676702268698,1257.176594235058701088,3898.569437158928394638,-5872.018648582609785080
1091.304088212315036799,1049.325016258575487882,3460.381214572867975221,-6179.834877750552550424
1170.097706351124998037,829.871505630434967316,2989.444660562489843869,-6453.366578043103800155
1247.169494886737993511,609.815260265212032209,2509.368163682281647198,-6678.928388411773084954
1319.151046828673315758,400.730011781272651206,2046.392635303897350241,-6850.810545526118403359
1382.896422951260774425,213.658696487798579255,1626.746713616019405890,-6970.963765442093972524
1435.619644433691291852,58.189530844997072734,1274.187609473441852970,-7047.192405666423837829
1475.016453503096272470,-58.122672098601924517,1008.187217712758979360,-7090.322792365134773718
1499.365020556278750519,-129.971279826818914671,842.916832537997947838,-7111.027389703874177940
1507.601196375626841473,-154.258344745442315116,786.884880937407615420,-7116.998808697218919406
1515.837372194974932427,-178.534113819925011057,730.795308222131438924,-7122.447723086233054346
1540.185939248157410475,-250.217229136565691761,564.680718306933954409,-7135.497164852688001702
1579.582748317562391094,-365.843856729948356588,295.182829783360773490,-7146.913420565339038149
1632.305969799992681146,-519.589739627302265035,-66.169543450345386759,-7143.413213697682294878
1696.051345922580139813,-703.353662007487855590,-502.699286506071587155,-7110.502611693898870726
1768.032897864515916808,-907.113113889671467405,-992.882800549256444356,-7035.786567826254213287
1845.104686400128684909,-1119.632204379057611732,-1511.507449411466268430,-6912.098241721727390541
1923.898304538938646147,-1329.472732845543987423,-2031.681387076434020855,-6739.752402850332146045
2000.970093074551414247,-1526.122420729464693068,-2527.347126444766672648,-6527.377089989765408973
2072.951645016486963868,-1700.973718155591313916,-2975.707233595047455310,-6291.112603166580811376
2136.697021139074422535,-1847.904942176535996623,-3358.947110976102521818,-6052.380162977404324920
2189.420242621505167335,-1963.330298101604967087,-3664.855299620197456534,-5834.757668271035072394
2228.817051690909920580,-2045.749998476779637713,-3886.306254402819376992,-5660.635702998237320571
2253.165618744092171255,-2094.981005373218522436,-4019.934294635890637437,-5548.243381106766719313
2261.401794563440489583,-2111.331622366041301575,-4064.556620831601776445,-5509.414906174699353869
2269.637970382788807910,-2127.527405602348153479,-4108.880874199631762167,-5470.181357725104135170
2293.986537435971058585,-2174.489959780115441390,-4238.141879673633411585,-5351.854359982330606726
2333.383346505375811830,-2247.511790841436322808,-4441.500809247489996778,-5153.146149872371097445
2386.106567987806556630,-2339.310910309830433107,-4701.925404083975990943,-4873.715650673992968223
2449.851944110393560550,-2440.883833057143419865,-4997.843602404648663651,-4516.329662758670565381
2521.833496052329337545,-2542.657748413830177014,-5305.515767460331517213,-4088.920442000303864916
